,class_name,MTH,FLD,RFC,INT,SZ,CPX,EX,RET,BCM,NML,WRD,DCM,buggy
0,PeepholeSimplifyRegExp,1,0,29,0,14,4,0,2,1,15.0,12,0.8571428571428571,0
1,MinimizeExitPoints,6,1,91,1,34,14,0,4,5,13.833333333333334,324,4.0,1
2,RenameLabels,10,9,56,1,7,3,0,1,8,10.2,336,8.0,1
3,JsMessageExtractor,4,4,20,0,8,3,1,1,5,14.25,149,8.277777777777779,0
4,Tracer,49,31,179,0,14,16,1,3,70,13.714285714285714,2019,9.56872037914692,0
5,VerboseMessageFormatter,3,0,12,0,3,1,0,1,1,10.0,16,2.6666666666666665,0
6,DiagnosticType,9,5,15,2,1,0,0,1,11,6.777777777777778,151,11.615384615384617,0
7,StrictModeCheck,12,13,108,1,13,7,0,3,11,11.75,128,1.8285714285714283,0
8,JSModule,26,6,87,2,3,3,1,2,28,11.884615384615383,342,5.428571428571429,0
9,JsMessageDefinition,3,3,0,0,1,0,0,1,2,16.333333333333332,121,20.166666666666668,0
10,LiveVariablesAnalysis,16,5,100,1,36,12,0,8,5,12.5,272,3.4871794871794872,1
11,StatementFusion,6,0,47,0,11,5,1,7,1,23.83333333333333,69,1.864864864864865,0
12,VariableVisibilityAnalysis,3,2,20,1,12,5,1,1,9,15.666666666666666,234,13.764705882352942,0
13,FunctionRewriter,25,17,104,1,13,6,1,5,22,12.88,483,5.307692307692308,1
14,CheckUnreachableCode,6,3,25,1,6,3,0,3,1,8.666666666666666,12,0.75,0
15,DataFlowAnalysis,32,9,158,1,13,9,1,2,21,9.46875,1031,9.726415094339623,0
16,RemoveUnusedVars,27,24,297,2,36,17,0,4,32,18.296296296296298,909,3.710204081632653,1
17,CollapseVariableDeclarations,6,7,71,1,18,7,0,3,9,12.333333333333334,221,3.946428571428572,1
18,RemoveTryCatch,2,2,24,1,23,8,0,2,2,6.0,31,1.1923076923076923,0
19,DiagnosticGroups,7,35,44,0,2,0,0,1,4,14.714285714285714,35,3.1818181818181817,1
20,ObjectPropertyStringPreprocess,3,6,54,1,20,6,0,6,1,10.666666666666666,47,1.6785714285714286,0
21,CheckSideEffects,7,7,60,1,15,8,0,4,3,9.142857142857142,75,1.7857142857142858,1
22,JoinOp,3,0,14,1,6,2,0,3,4,8.333333333333334,85,9.444444444444445,0
23,FindExportableNodes,5,6,30,0,17,7,0,1,3,9.8,84,3.230769230769231,0
24,PeepholeOptimizationsPass,15,8,40,1,8,4,0,2,3,9.4,55,0.9821428571428572,1
25,JvmMetrics,10,4,137,0,13,8,0,4,1,18.3,28,0.3076923076923077,0
26,ByPathWarningsGuard,4,5,7,0,6,3,0,2,4,8.25,177,11.8,0
27,DefaultPassConfig,154,121,372,1,85,51,1,3,119,8.194805194805195,964,2.0083333333333333,0
28,FunctionNames,8,13,27,1,8,3,0,2,1,12.0,75,2.419354838709677,0
29,AbstractCommandLineRunner,101,69,430,0,43,19,6,9,94,18.08910891089109,1965,3.521505376344086,1
30,ClosureCodeRemoval,4,11,54,1,7,6,0,0,15,5.75,229,6.026315789473684,0
31,OptimizeReturns,6,1,41,2,11,7,0,6,4,9.833333333333334,128,4.129032258064516,0
