,Classifier Name,HyperParameters,Precision,Recall,F-score
0,Decision Tree,-,0.4166666666666667,0.4166666666666667,0.4166666666666667
1,Naive Bayes,-,0.4,0.16666666666666666,0.23529411764705882
2,SVM,-,0.4,0.3333333333333333,0.3636363636363636
3,MLP,-,0.6363636363636364,0.5833333333333334,0.6086956521739131
4,Random Forest,-,0.4166666666666667,0.4166666666666667,0.4166666666666667
5,Biased Classifier,-,0.18461538461538463,1.0,0.3116883116883117
6,Decision Tree,-,0.4,0.5714285714285714,0.47058823529411764
7,Naive Bayes,-,0.6,0.42857142857142855,0.5
8,SVM,-,0.7,0.5,0.5833333333333334
9,MLP,-,0.4444444444444444,0.5714285714285714,0.5
10,Random Forest,-,0.6,0.6428571428571429,0.6206896551724138
11,Biased Classifier,-,0.2153846153846154,1.0,0.35443037974683544
12,Decision Tree,-,0.625,0.35714285714285715,0.45454545454545453
13,Naive Bayes,-,0.6666666666666666,0.42857142857142855,0.5217391304347826
14,SVM,-,0.6666666666666666,0.2857142857142857,0.4
15,MLP,-,0.5555555555555556,0.35714285714285715,0.43478260869565216
16,Random Forest,-,0.7142857142857143,0.35714285714285715,0.4761904761904762
17,Biased Classifier,-,0.2153846153846154,1.0,0.35443037974683544
18,Decision Tree,-,0.8571428571428571,0.35294117647058826,0.5
19,Naive Bayes,-,0.75,0.35294117647058826,0.48
20,SVM,-,0.7142857142857143,0.29411764705882354,0.4166666666666667
21,MLP,-,0.47058823529411764,0.47058823529411764,0.47058823529411764
22,Random Forest,-,0.5454545454545454,0.35294117647058826,0.42857142857142855
23,Biased Classifier,-,0.265625,1.0,0.41975308641975306
24,Decision Tree,-,0.8,0.42105263157894735,0.5517241379310345
25,Naive Bayes,-,0.7142857142857143,0.2631578947368421,0.3846153846153846
26,SVM,-,0.8,0.21052631578947367,0.3333333333333333
27,MLP,-,0.6,0.47368421052631576,0.5294117647058824
28,Random Forest,-,0.7272727272727273,0.42105263157894735,0.5333333333333333
29,Biased Classifier,-,0.296875,1.0,0.4578313253012048
30,Decision Tree,-,0.6666666666666666,0.3076923076923077,0.42105263157894735
31,Naive Bayes,-,0.7777777777777778,0.5384615384615384,0.6363636363636364
32,SVM,-,1.0,0.5384615384615384,0.7000000000000001
33,MLP,-,0.5882352941176471,0.7692307692307693,0.6666666666666667
34,Random Forest,-,0.625,0.7692307692307693,0.6896551724137931
35,Biased Classifier,-,0.2,1.0,0.33333333333333337
36,Decision Tree,-,0.4,0.2857142857142857,0.3333333333333333
37,Naive Bayes,-,0.6666666666666666,0.2857142857142857,0.4
38,SVM,-,0.5,0.21428571428571427,0.3
39,MLP,-,0.38461538461538464,0.35714285714285715,0.3703703703703704
40,Random Forest,-,0.5833333333333334,0.5,0.5384615384615384
41,Biased Classifier,-,0.2153846153846154,1.0,0.35443037974683544
42,Decision Tree,-,0.46153846153846156,0.42857142857142855,0.4444444444444445
43,Naive Bayes,-,0.4444444444444444,0.2857142857142857,0.34782608695652173
44,SVM,-,0.5714285714285714,0.2857142857142857,0.38095238095238093
45,MLP,-,0.6,0.42857142857142855,0.5
46,Random Forest,-,0.5,0.42857142857142855,0.4615384615384615
47,Biased Classifier,-,0.2153846153846154,1.0,0.35443037974683544
48,Decision Tree,-,0.5333333333333333,0.47058823529411764,0.5
49,Naive Bayes,-,0.5555555555555556,0.29411764705882354,0.3846153846153846
50,SVM,-,0.75,0.35294117647058826,0.48
51,MLP,-,0.5,0.4117647058823529,0.45161290322580644
52,Random Forest,-,0.6363636363636364,0.4117647058823529,0.5
53,Biased Classifier,-,0.265625,1.0,0.41975308641975306
54,Decision Tree,-,0.8333333333333334,0.2777777777777778,0.4166666666666667
