,Classifier Name,Hyperparameters,Precision,Recall,F-score
0,Decision Tree,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",0.8888888888888888,0.47058823529411764,0.6153846153846153
1,Naive Bayes,"{'priors': None, 'var_smoothing': 1e-09}",1.0,0.47058823529411764,0.6399999999999999
2,SVM,"{'C': 0.1, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",1.0,0.29411764705882354,0.45454545454545453
3,MLP,"{'memory': None, 'steps': [('standardscaler', StandardScaler()), ('mlpclassifier', MLPClassifier(max_iter=2000))], 'verbose': False, 'standardscaler': StandardScaler(), 'mlpclassifier': MLPClassifier(max_iter=2000), 'standardscaler__copy': True, 'standardscaler__with_mean': True, 'standardscaler__with_std': True, 'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__batch_size': 'auto', 'mlpclassifier__beta_1': 0.9, 'mlpclassifier__beta_2': 0.999, 'mlpclassifier__early_stopping': False, 'mlpclassifier__epsilon': 1e-08, 'mlpclassifier__hidden_layer_sizes': (100,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__learning_rate_init': 0.001, 'mlpclassifier__max_fun': 15000, 'mlpclassifier__max_iter': 2000, 'mlpclassifier__momentum': 0.9, 'mlpclassifier__n_iter_no_change': 10, 'mlpclassifier__nesterovs_momentum': True, 'mlpclassifier__power_t': 0.5, 'mlpclassifier__random_state': None, 'mlpclassifier__shuffle': True, 'mlpclassifier__solver': 'adam', 'mlpclassifier__tol': 0.0001, 'mlpclassifier__validation_fraction': 0.1, 'mlpclassifier__verbose': False, 'mlpclassifier__warm_start': False}",0.6153846153846154,0.47058823529411764,0.5333333333333333
4,Random Forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8333333333333334,0.5882352941176471,0.6896551724137931
5,Decision Tree,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 2, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",0.5454545454545454,0.3333333333333333,0.41379310344827586
6,Naive Bayes,"{'priors': None, 'var_smoothing': 1e-09}",0.42857142857142855,0.16666666666666666,0.24
7,SVM,"{'C': 1, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.6666666666666666,0.2222222222222222,0.3333333333333333
8,MLP,"{'memory': None, 'steps': [('standardscaler', StandardScaler()), ('mlpclassifier', MLPClassifier(hidden_layer_sizes=(50,), max_iter=2000))], 'verbose': False, 'standardscaler': StandardScaler(), 'mlpclassifier': MLPClassifier(hidden_layer_sizes=(50,), max_iter=2000), 'standardscaler__copy': True, 'standardscaler__with_mean': True, 'standardscaler__with_std': True, 'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__batch_size': 'auto', 'mlpclassifier__beta_1': 0.9, 'mlpclassifier__beta_2': 0.999, 'mlpclassifier__early_stopping': False, 'mlpclassifier__epsilon': 1e-08, 'mlpclassifier__hidden_layer_sizes': (50,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__learning_rate_init': 0.001, 'mlpclassifier__max_fun': 15000, 'mlpclassifier__max_iter': 2000, 'mlpclassifier__momentum': 0.9, 'mlpclassifier__n_iter_no_change': 10, 'mlpclassifier__nesterovs_momentum': True, 'mlpclassifier__power_t': 0.5, 'mlpclassifier__random_state': None, 'mlpclassifier__shuffle': True, 'mlpclassifier__solver': 'adam', 'mlpclassifier__tol': 0.0001, 'mlpclassifier__validation_fraction': 0.1, 'mlpclassifier__verbose': False, 'mlpclassifier__warm_start': False}",0.6666666666666666,0.3333333333333333,0.4444444444444444
9,Random Forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.45454545454545453,0.2777777777777778,0.3448275862068966
