,Classifier Name,Hyperparameters,Unnamed: 0,Precision,Recall,F-score
0,Biased Classifier,Dummy,1502.0,0.23529375,1.0,0.3782498983434167
1,Decision Tree,100,2697.0,0.43348950540630105,0.4667291199942129,0.44007609399170555
2,Decision Tree,2,297.0,0.640609668109668,0.361511714721467,0.4490033588064027
3,Decision Tree,3,897.0,0.5698763409792822,0.37572378121833294,0.4362686127085055
4,Decision Tree,4,1497.0,0.546775572166052,0.38585979442664387,0.4326551252649919
5,Decision Tree,5,2097.0,0.5156069477048579,0.40053988678683455,0.4385635322300476
6,MLP,"(100, 100)",900.0,0.47291002491660383,0.4365319040810224,0.44300362333293825
7,MLP,"(150, 150)",1500.0,0.48398564454719384,0.4366133762402776,0.4470834671465772
8,MLP,"(200, 200)",2100.0,0.4775615772630175,0.42604170084824616,0.4389115650357605
9,MLP,"(250, 250)",2700.0,0.4803994708571368,0.4295720807400374,0.44190748370982263
10,MLP,"(50, 50)",300.0,0.46409176160956345,0.41828899274100506,0.4263491514306825
11,Naive Bayes,0,298.0,0.6473889770360358,0.3376105919794,0.43006170988312165
12,Naive Bayes,1,898.0,0.6585,0.1735142567749177,0.26722484610588687
13,Naive Bayes,2,1498.0,0.7269761904761904,0.13257083867322458,0.21514711494714184
14,Naive Bayes,3,2098.0,0.7413333333333334,0.08392724865657965,0.14747079651178452
15,Naive Bayes,4,2698.0,0.63,0.05942570797795255,0.10732472661123892
16,Random Forest,10,901.0,0.5942263275939746,0.3894082313914828,0.4581850737548392
17,Random Forest,100,2101.0,0.6279240204240204,0.44137398303749764,0.5056959722077798
18,Random Forest,200,2701.0,0.6299024086508607,0.44859911949076037,0.5130632251055405
19,Random Forest,5,301.0,0.5281561986345268,0.44611546112126604,0.4702383787822185
20,Random Forest,50,1501.0,0.6151244148008854,0.4334551818094859,0.49423398853465655
21,SVM,1,299.0,0.7422368464868465,0.3216889675082399,0.4326569163274902
22,SVM,10,2099.0,0.7385955988455989,0.3156390538302875,0.4316733646292468
23,SVM,100,2699.0,0.7539290986790986,0.3150505432390107,0.4294406334673393
24,SVM,2,899.0,0.7386365162615163,0.30737265640986194,0.4189119975901899
25,SVM,5,1499.0,0.7385343684093684,0.3159065513912061,0.42356525492387115
