,Classifier Name,Hyperparameters,Precision,Recall,F-score
0,Decision Tree,2.0,0.5,0.21428571428571427,0.3
1,Naive Bayes,,0.5454545454545454,0.42857142857142855,0.4799999999999999
2,SVM,1.0,0.5,0.35714285714285715,0.41666666666666663
3,MLP,,0.5333333333333333,0.5714285714285714,0.5517241379310344
4,Random Forest,5.0,0.6428571428571429,0.6428571428571429,0.6428571428571429
5,Biased Classifier,,0.2153846153846154,1.0,0.35443037974683544
6,Decision Tree,2.0,0.5,0.3333333333333333,0.4
7,Naive Bayes,,0.6666666666666666,0.16666666666666666,0.26666666666666666
8,SVM,1.0,0.8333333333333334,0.4166666666666667,0.5555555555555556
9,MLP,,0.3076923076923077,0.3333333333333333,0.32
10,Random Forest,5.0,0.4,0.3333333333333333,0.3636363636363636
11,Biased Classifier,,0.18461538461538463,1.0,0.3116883116883117
12,Decision Tree,2.0,0.6666666666666666,0.23529411764705882,0.3478260869565218
13,Naive Bayes,,0.5714285714285714,0.23529411764705882,0.3333333333333333
14,SVM,1.0,0.8,0.23529411764705882,0.3636363636363636
15,MLP,,0.5,0.47058823529411764,0.48484848484848486
16,Random Forest,5.0,0.45454545454545453,0.29411764705882354,0.35714285714285715
17,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
18,Decision Tree,2.0,0.2857142857142857,0.15384615384615385,0.2
19,Naive Bayes,,0.5,0.15384615384615385,0.23529411764705882
20,SVM,1.0,0.8,0.3076923076923077,0.4444444444444444
21,MLP,,0.5,0.5384615384615384,0.5185185185185186
22,Random Forest,5.0,0.45454545454545453,0.38461538461538464,0.41666666666666663
23,Biased Classifier,,0.203125,1.0,0.33766233766233766
24,Decision Tree,2.0,0.8571428571428571,0.6,0.7058823529411764
25,Naive Bayes,,0.7692307692307693,0.5,0.6060606060606061
26,SVM,1.0,1.0,0.3,0.4615384615384615
27,MLP,,0.5,0.3,0.37499999999999994
28,Random Forest,5.0,0.7777777777777778,0.35,0.48275862068965514
29,Biased Classifier,,0.3125,1.0,0.47619047619047616
30,Decision Tree,2.0,0.4444444444444444,0.25,0.32
31,Naive Bayes,,0.45454545454545453,0.3125,0.3703703703703703
32,SVM,1.0,0.375,0.1875,0.25
33,MLP,,0.4090909090909091,0.5625,0.47368421052631576
34,Random Forest,5.0,0.3333333333333333,0.25,0.28571428571428575
35,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
36,Decision Tree,2.0,0.625,0.35714285714285715,0.45454545454545453
37,Naive Bayes,,0.5333333333333333,0.5714285714285714,0.5517241379310344
38,SVM,1.0,0.5833333333333334,0.5,0.5384615384615384
39,MLP,,0.375,0.42857142857142855,0.39999999999999997
40,Random Forest,5.0,0.4117647058823529,0.5,0.45161290322580644
41,Biased Classifier,,0.2153846153846154,1.0,0.35443037974683544
42,Decision Tree,2.0,1.0,0.3125,0.47619047619047616
43,Naive Bayes,,1.0,0.1875,0.3157894736842105
44,SVM,1.0,1.0,0.125,0.2222222222222222
45,MLP,,0.2727272727272727,0.1875,0.2222222222222222
46,Random Forest,5.0,0.46153846153846156,0.375,0.41379310344827586
47,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
48,Decision Tree,2.0,0.8571428571428571,0.4,0.5454545454545455
49,Naive Bayes,,0.875,0.4666666666666667,0.608695652173913
50,SVM,1.0,1.0,0.4,0.5714285714285715
51,MLP,,0.5625,0.6,0.5806451612903225
52,Random Forest,5.0,0.5,0.5333333333333333,0.5161290322580646
53,Biased Classifier,,0.234375,1.0,0.379746835443038
54,Decision Tree,2.0,0.42857142857142855,0.2,0.27272727272727276
55,Naive Bayes,,0.8,0.26666666666666666,0.4
56,SVM,1.0,0.7142857142857143,0.3333333333333333,0.4545454545454545
57,MLP,,0.3333333333333333,0.26666666666666666,0.2962962962962963
58,Random Forest,5.0,0.46153846153846156,0.4,0.42857142857142855
59,Biased Classifier,,0.234375,1.0,0.379746835443038
60,Decision Tree,2.0,0.6666666666666666,0.375,0.4800000000000001
61,Naive Bayes,,0.5384615384615384,0.4375,0.4827586206896552
62,SVM,1.0,0.7,0.4375,0.5384615384615384
63,MLP,,0.6,0.5625,0.5806451612903225
64,Random Forest,5.0,0.5,0.4375,0.4666666666666667
65,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
66,Decision Tree,2.0,0.42857142857142855,0.25,0.3157894736842105
67,Naive Bayes,,0.25,0.16666666666666666,0.2
68,SVM,1.0,0.4,0.16666666666666666,0.23529411764705882
69,MLP,,0.3333333333333333,0.3333333333333333,0.3333333333333333
70,Random Forest,5.0,0.4,0.5,0.4444444444444445
71,Biased Classifier,,0.18461538461538463,1.0,0.3116883116883117
72,Decision Tree,2.0,0.7272727272727273,0.5333333333333333,0.6153846153846153
73,Naive Bayes,,0.8571428571428571,0.4,0.5454545454545455
74,SVM,1.0,0.875,0.4666666666666667,0.608695652173913
75,MLP,,0.6153846153846154,0.5333333333333333,0.5714285714285715
76,Random Forest,5.0,0.7333333333333333,0.7333333333333333,0.7333333333333333
77,Biased Classifier,,0.23076923076923078,1.0,0.375
78,Decision Tree,2.0,0.75,0.14285714285714285,0.24
79,Naive Bayes,,0.875,0.3333333333333333,0.48275862068965514
80,SVM,1.0,1.0,0.19047619047619047,0.32
81,MLP,,0.6,0.14285714285714285,0.23076923076923073
82,Random Forest,5.0,0.8571428571428571,0.2857142857142857,0.42857142857142855
83,Biased Classifier,,0.328125,1.0,0.49411764705882355
84,Decision Tree,2.0,0.5,0.25,0.3333333333333333
85,Naive Bayes,,1.0,0.3333333333333333,0.5
86,SVM,1.0,0.8,0.3333333333333333,0.47058823529411764
87,MLP,,0.4,0.3333333333333333,0.3636363636363636
88,Random Forest,5.0,0.36363636363636365,0.3333333333333333,0.34782608695652173
89,Biased Classifier,,0.1875,1.0,0.3157894736842105
90,Decision Tree,2.0,0.5833333333333334,0.4117647058823529,0.4827586206896552
91,Naive Bayes,,0.625,0.29411764705882354,0.4
92,SVM,1.0,0.8571428571428571,0.35294117647058826,0.5
93,MLP,,0.2857142857142857,0.23529411764705882,0.2580645161290323
94,Random Forest,5.0,0.5,0.29411764705882354,0.37037037037037035
95,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
96,Decision Tree,2.0,0.5714285714285714,0.25,0.34782608695652173
97,Naive Bayes,,0.8,0.5,0.6153846153846154
98,SVM,1.0,0.8,0.25,0.38095238095238093
99,MLP,,0.47619047619047616,0.625,0.5405405405405405
100,Random Forest,5.0,0.3333333333333333,0.375,0.35294117647058826
101,Biased Classifier,,0.24615384615384617,1.0,0.39506172839506176
102,Decision Tree,2.0,0.8333333333333334,0.2777777777777778,0.4166666666666667
103,Naive Bayes,,0.5555555555555556,0.2777777777777778,0.3703703703703704
104,SVM,1.0,0.6666666666666666,0.2222222222222222,0.3333333333333333
105,MLP,,0.4117647058823529,0.3888888888888889,0.39999999999999997
106,Random Forest,5.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
107,Biased Classifier,,0.27692307692307694,1.0,0.4337349397590362
108,Decision Tree,2.0,0.42857142857142855,0.23076923076923078,0.3
109,Naive Bayes,,0.25,0.07692307692307693,0.11764705882352941
110,SVM,1.0,0.5,0.15384615384615385,0.23529411764705882
111,MLP,,0.2857142857142857,0.15384615384615385,0.2
112,Random Forest,5.0,0.5,0.23076923076923078,0.3157894736842105
113,Biased Classifier,,0.203125,1.0,0.33766233766233766
114,Decision Tree,2.0,0.8,0.6666666666666666,0.7272727272727272
115,Naive Bayes,,0.8,0.6666666666666666,0.7272727272727272
116,SVM,1.0,0.8888888888888888,0.6666666666666666,0.761904761904762
117,MLP,,0.6,0.75,0.6666666666666665
118,Random Forest,5.0,0.55,0.9166666666666666,0.6874999999999999
119,Biased Classifier,,0.1875,1.0,0.3157894736842105
120,Decision Tree,2.0,0.5714285714285714,0.3333333333333333,0.4210526315789474
121,Naive Bayes,,0.3333333333333333,0.16666666666666666,0.2222222222222222
122,SVM,1.0,0.6666666666666666,0.16666666666666666,0.26666666666666666
123,MLP,,0.5,0.4166666666666667,0.45454545454545453
124,Random Forest,5.0,0.3333333333333333,0.25,0.28571428571428575
125,Biased Classifier,,0.18461538461538463,1.0,0.3116883116883117
126,Decision Tree,2.0,0.6363636363636364,0.4117647058823529,0.5
127,Naive Bayes,,0.6,0.17647058823529413,0.2727272727272727
128,SVM,1.0,0.8333333333333334,0.29411764705882354,0.4347826086956522
129,MLP,,0.35,0.4117647058823529,0.37837837837837834
130,Random Forest,5.0,0.5,0.29411764705882354,0.37037037037037035
131,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
132,Decision Tree,2.0,0.8333333333333334,0.2777777777777778,0.4166666666666667
133,Naive Bayes,,1.0,0.3333333333333333,0.5
134,SVM,1.0,0.8,0.2222222222222222,0.3478260869565218
135,MLP,,0.47058823529411764,0.4444444444444444,0.45714285714285713
136,Random Forest,5.0,0.5833333333333334,0.3888888888888889,0.4666666666666666
137,Biased Classifier,,0.27692307692307694,1.0,0.4337349397590362
138,Decision Tree,2.0,0.6363636363636364,0.4666666666666667,0.5384615384615385
139,Naive Bayes,,0.5384615384615384,0.4666666666666667,0.5
140,SVM,1.0,0.6666666666666666,0.4,0.5
141,MLP,,0.4444444444444444,0.5333333333333333,0.4848484848484848
142,Random Forest,5.0,0.46153846153846156,0.4,0.42857142857142855
143,Biased Classifier,,0.234375,1.0,0.379746835443038
144,Decision Tree,2.0,0.8571428571428571,0.42857142857142855,0.5714285714285714
145,Naive Bayes,,0.6666666666666666,0.42857142857142855,0.5217391304347826
146,SVM,1.0,0.7777777777777778,0.5,0.6086956521739131
147,MLP,,0.4666666666666667,0.5,0.4827586206896552
148,Random Forest,5.0,0.5,0.5714285714285714,0.5333333333333333
149,Biased Classifier,,0.21875,1.0,0.358974358974359
150,Decision Tree,2.0,0.5714285714285714,0.36363636363636365,0.4444444444444444
151,Naive Bayes,,0.5,0.2727272727272727,0.3529411764705882
152,SVM,1.0,0.8,0.36363636363636365,0.5000000000000001
153,MLP,,0.5555555555555556,0.45454545454545453,0.5
154,Random Forest,5.0,0.4444444444444444,0.36363636363636365,0.39999999999999997
155,Biased Classifier,,0.16923076923076924,1.0,0.2894736842105263
156,Decision Tree,2.0,0.9,0.5294117647058824,0.6666666666666667
157,Naive Bayes,,0.875,0.4117647058823529,0.56
158,SVM,1.0,0.8571428571428571,0.35294117647058826,0.5
159,MLP,,0.5294117647058824,0.5294117647058824,0.5294117647058824
160,Random Forest,5.0,0.6923076923076923,0.5294117647058824,0.5999999999999999
161,Biased Classifier,,0.26153846153846155,1.0,0.41463414634146345
162,Decision Tree,2.0,0.42857142857142855,0.4,0.4137931034482759
163,Naive Bayes,,0.45454545454545453,0.3333333333333333,0.3846153846153846
164,SVM,1.0,0.6,0.4,0.48
165,MLP,,0.5294117647058824,0.6,0.5625
166,Random Forest,5.0,0.45454545454545453,0.3333333333333333,0.3846153846153846
167,Biased Classifier,,0.23076923076923078,1.0,0.375
168,Decision Tree,2.0,0.8333333333333334,0.35714285714285715,0.5
169,Naive Bayes,,0.75,0.42857142857142855,0.5454545454545454
170,SVM,1.0,0.8333333333333334,0.35714285714285715,0.5
171,MLP,,0.4666666666666667,0.5,0.4827586206896552
172,Random Forest,5.0,0.6666666666666666,0.5714285714285714,0.6153846153846153
173,Biased Classifier,,0.21875,1.0,0.358974358974359
174,Decision Tree,2.0,0.6666666666666666,0.21052631578947367,0.32
175,Naive Bayes,,0.5,0.15789473684210525,0.23999999999999996
176,SVM,1.0,0.6,0.15789473684210525,0.25
177,MLP,,0.47058823529411764,0.42105263157894735,0.4444444444444444
