,Classifier Name,Hyperparameters,Precision,Recall,F-score
0,Decision Tree,2,0.35714285714285715,0.45454545454545453,0.4
1,Naive Bayes,0,0.2727272727272727,0.2727272727272727,0.2727272727272727
2,SVM,1,0.5555555555555556,0.45454545454545453,0.5
3,MLP,"(50, 50)",0.42105263157894735,0.7272727272727273,0.5333333333333333
4,Random Forest,5,0.46153846153846156,0.5454545454545454,0.4999999999999999
5,Biased Classifier,Dummy,0.16923076923076924,1.0,0.2894736842105263
6,Decision Tree,2,0.6666666666666666,0.2857142857142857,0.4
7,Naive Bayes,0,0.5714285714285714,0.2857142857142857,0.38095238095238093
8,SVM,1,0.7142857142857143,0.35714285714285715,0.4761904761904762
9,MLP,"(50, 50)",0.3333333333333333,0.35714285714285715,0.3448275862068965
10,Random Forest,5,0.45454545454545453,0.35714285714285715,0.4
11,Biased Classifier,Dummy,0.2153846153846154,1.0,0.35443037974683544
12,Decision Tree,2,0.6666666666666666,0.35294117647058826,0.46153846153846156
13,Naive Bayes,0,0.8888888888888888,0.47058823529411764,0.6153846153846153
14,SVM,1,0.8333333333333334,0.29411764705882354,0.4347826086956522
15,MLP,"(50, 50)",0.46153846153846156,0.35294117647058826,0.4000000000000001
16,Random Forest,5,0.5882352941176471,0.5882352941176471,0.5882352941176471
17,Biased Classifier,Dummy,0.26153846153846155,1.0,0.41463414634146345
18,Decision Tree,2,0.75,0.3,0.4285714285714285
19,Naive Bayes,0,0.8571428571428571,0.3,0.4444444444444444
20,SVM,1,0.875,0.35,0.4999999999999999
21,MLP,"(50, 50)",0.5625,0.45,0.5
22,Random Forest,5,0.6363636363636364,0.35,0.45161290322580644
23,Biased Classifier,Dummy,0.3125,1.0,0.47619047619047616
24,Decision Tree,2,0.8333333333333334,0.35714285714285715,0.5
25,Naive Bayes,0,0.8,0.2857142857142857,0.4210526315789473
26,SVM,1,0.8333333333333334,0.35714285714285715,0.5
27,MLP,"(50, 50)",0.38461538461538464,0.35714285714285715,0.3703703703703704
