,Classifier Name,Precision,Recall,F-score
0,Decision Tree,0.4666666666666667,0.5,0.4827586206896552
1,Naive Bayes,0.5714285714285714,0.2857142857142857,0.38095238095238093
2,SVM,0.7142857142857143,0.35714285714285715,0.4761904761904762
3,MLP,0.4444444444444444,0.2857142857142857,0.34782608695652173
4,Random Forest,0.6,0.42857142857142855,0.5
5,Biased Classifier,0.2153846153846154,1.0,0.35443037974683544
6,Decision Tree,0.8,0.38095238095238093,0.5161290322580645
7,Naive Bayes,1.0,0.38095238095238093,0.5517241379310345
8,SVM,1.0,0.23809523809523808,0.3846153846153846
9,MLP,0.5384615384615384,0.3333333333333333,0.41176470588235287
10,Random Forest,0.875,0.3333333333333333,0.48275862068965514
11,Biased Classifier,0.3230769230769231,1.0,0.48837209302325585
12,Decision Tree,0.2857142857142857,0.2222222222222222,0.25
13,Naive Bayes,0.5,0.1111111111111111,0.1818181818181818
14,SVM,0.75,0.3333333333333333,0.46153846153846156
15,MLP,0.5,0.5555555555555556,0.5263157894736842
16,Random Forest,0.5454545454545454,0.6666666666666666,0.6
17,Biased Classifier,0.13846153846153847,1.0,0.24324324324324326
18,Decision Tree,0.5,0.5,0.5
19,Naive Bayes,0.5555555555555556,0.5555555555555556,0.5555555555555556
20,SVM,0.5625,0.5,0.5294117647058824
21,MLP,0.5,0.5,0.5
22,Random Forest,0.47368421052631576,0.5,0.4864864864864865
23,Biased Classifier,0.28125,1.0,0.43902439024390244
24,Decision Tree,0.5384615384615384,0.5,0.5185185185185186
25,Naive Bayes,0.3333333333333333,0.14285714285714285,0.2
26,SVM,0.6666666666666666,0.14285714285714285,0.23529411764705882
27,MLP,0.46153846153846156,0.42857142857142855,0.4444444444444445
28,Random Forest,0.5714285714285714,0.2857142857142857,0.38095238095238093
29,Biased Classifier,0.21875,1.0,0.358974358974359
30,Decision Tree,0.5555555555555556,0.35714285714285715,0.43478260869565216
31,Naive Bayes,0.8333333333333334,0.35714285714285715,0.5
32,SVM,0.8,0.2857142857142857,0.4210526315789473
33,MLP,0.5333333333333333,0.5714285714285714,0.5517241379310344
34,Random Forest,0.5555555555555556,0.35714285714285715,0.43478260869565216
35,Biased Classifier,0.2153846153846154,1.0,0.35443037974683544
36,Decision Tree,0.625,0.2777777777777778,0.3846153846153846
37,Naive Bayes,0.8571428571428571,0.3333333333333333,0.48
38,SVM,1.0,0.2777777777777778,0.4347826086956522
39,MLP,0.7272727272727273,0.4444444444444444,0.5517241379310345
40,Random Forest,0.7,0.3888888888888889,0.5
41,Biased Classifier,0.27692307692307694,1.0,0.4337349397590362
42,Decision Tree,0.5454545454545454,0.35294117647058826,0.42857142857142855
43,Naive Bayes,0.4444444444444444,0.23529411764705882,0.30769230769230765
44,SVM,0.7,0.4117647058823529,0.5185185185185185
45,MLP,0.5,0.6470588235294118,0.5641025641025642
46,Random Forest,0.5,0.35294117647058826,0.41379310344827586
47,Biased Classifier,0.26153846153846155,1.0,0.41463414634146345
48,Decision Tree,0.7142857142857143,0.6666666666666666,0.689655172413793
49,Naive Bayes,0.5454545454545454,0.4,0.4615384615384615
50,SVM,0.7,0.4666666666666667,0.56
51,MLP,0.6111111111111112,0.7333333333333333,0.6666666666666666
52,Random Forest,0.6111111111111112,0.7333333333333333,0.6666666666666666
53,Biased Classifier,0.234375,1.0,0.379746835443038
54,Decision Tree,0.6,0.25,0.35294117647058826
55,Naive Bayes,0.6666666666666666,0.3333333333333333,0.4444444444444444
56,SVM,0.75,0.25,0.375
57,MLP,0.5555555555555556,0.4166666666666667,0.4761904761904762
58,Random Forest,0.375,0.25,0.3
59,Biased Classifier,0.1875,1.0,0.3157894736842105
60,Decision Tree,0.4444444444444444,0.3076923076923077,0.3636363636363637
61,Naive Bayes,0.375,0.23076923076923078,0.2857142857142857
62,SVM,0.5,0.23076923076923078,0.3157894736842105
63,MLP,0.5,0.38461538461538464,0.4347826086956522
64,Random Forest,0.5,0.3076923076923077,0.380952380952381
65,Biased Classifier,0.2,1.0,0.33333333333333337
66,Decision Tree,0.5,0.2857142857142857,0.36363636363636365
67,Naive Bayes,1.0,0.21428571428571427,0.35294117647058826
68,SVM,0.8,0.2857142857142857,0.4210526315789473
69,MLP,0.45454545454545453,0.35714285714285715,0.4
70,Random Forest,0.5,0.35714285714285715,0.41666666666666663
71,Biased Classifier,0.2153846153846154,1.0,0.35443037974683544
72,Decision Tree,0.7,0.4117647058823529,0.5185185185185185
73,Naive Bayes,0.5555555555555556,0.29411764705882354,0.3846153846153846
74,SVM,0.8333333333333334,0.29411764705882354,0.4347826086956522
75,MLP,0.6153846153846154,0.47058823529411764,0.5333333333333333
76,Random Forest,0.75,0.5294117647058824,0.6206896551724139
77,Biased Classifier,0.26153846153846155,1.0,0.41463414634146345
78,Decision Tree,0.36363636363636365,0.36363636363636365,0.36363636363636365
79,Naive Bayes,0.2857142857142857,0.18181818181818182,0.2222222222222222
80,SVM,0.5,0.18181818181818182,0.26666666666666666
81,MLP,0.5555555555555556,0.45454545454545453,0.5
82,Random Forest,0.36363636363636365,0.36363636363636365,0.36363636363636365
83,Biased Classifier,0.171875,1.0,0.29333333333333333
84,Decision Tree,0.7857142857142857,0.5238095238095238,0.6285714285714286
85,Naive Bayes,0.8461538461538461,0.5238095238095238,0.6470588235294118
86,SVM,0.875,0.3333333333333333,0.48275862068965514
87,MLP,0.6842105263157895,0.6190476190476191,0.6500000000000001
88,Random Forest,0.631578947368421,0.5714285714285714,0.6
89,Biased Classifier,0.328125,1.0,0.49411764705882355
90,Decision Tree,0.6428571428571429,0.47368421052631576,0.5454545454545454
91,Naive Bayes,0.5,0.2631578947368421,0.3448275862068966
92,SVM,0.25,0.05263157894736842,0.08695652173913043
93,MLP,0.5,0.3684210526315789,0.4242424242424242
94,Random Forest,0.75,0.3157894736842105,0.44444444444444436
95,Biased Classifier,0.2923076923076923,1.0,0.4523809523809524
96,Decision Tree,0.6,0.75,0.6666666666666665
